BookID, Title, Author, Genre, Price, PublishedYear, StockQuantity
1, 'The Great Gatsby', 'F. Scott Fitzgerald', 'Classic', 10.99, 1925, 100,
2, '1984', 'George Orwell', 'Dystopian', 8.99, 1949, 50,
3, 'Animal Farm', 'George Orwell', 'Satire', 7.50, 1945, 75,
4, 'The Hobbit', 'J.R.R. Tolkien', 'Fantasy', 15.00, 1937, 20,
5, 'Harry Potter and the Sorcerers Stone', 'J.K. Rowling', 'Fantasy', 20.00, 1997, 120,
6, 'The Da Vinci Code', 'Dan Brown', 'Thriller', 12.50, 2003, 0,
7, 'Angels & Demons', 'Dan Brown', 'Thriller', 11.00, 2000, 15,
8, 'Pride and Prejudice', 'Jane Austen', 'Romance', 9.99, 1813, 40,
9, 'To Kill a Mockingbird', 'Harper Lee', 'Classic', 14.50, 1960, 85,
10, 'The Catcher in the Rye', 'J.D. Salinger', 'Classic', 10.00, 1951, 10;
